"id_pays";"nom"
"52";"Abkhazia"
"53";"Afghanistan"
"54";"Akrotiri and Dhekelia"
"55";"Albania"
"56";"Algeria"
"57";"American Samoa"
"58";"Andorra"
"59";"Angola"
"60";"Anguilla"
"61";"Antigua and Barbuda"
"62";"Argentina"
"63";"Armenia"
"64";"Aruba"
"65";"Australia"
"66";"Austria"
"67";"Azerbaijan"
"68";"Bahamas"
"69";"Bahrain"
"70";"Bangladesh"
"71";"Barbados"
"72";"Belarus"
"73";"Belgium"
"74";"Belize"
"75";"Benin"
"76";"Bermuda"
"77";"Bhutan"
"78";"Bolivia"
"79";"Bosnia and Herzegovina"
"80";"Botswana"
"81";"Brazil"
"82";"British Virgin Islands"
"83";"Brunei"
"84";"Bulgaria"
"85";"Burkina Faso"
"86";"Burundi"
"87";"Cambodia"
"88";"Cameroon"
"89";"Canada"
"90";"Cape Verde"
"91";"Cayman Islands"
"92";"Central African Republic"
"93";"Chad"
"94";"Channel Islands"
"95";"Chile"
"96";"China"
"97";"Christmas Island"
"98";"Cocos Island"
"99";"Colombia"
"100";"Comoros"
"101";"Congo, Dem. Rep."
"102";"Congo, Rep."
"103";"Cook Is"
"104";"Costa Rica"
"105";"Cote d'Ivoire"
"106";"Croatia"
"107";"Cuba"
"108";"Cyprus"
"109";"Czech Republic"
"110";"Czechoslovakia"
"111";"Denmark"
"112";"Djibouti"
"113";"Dominica"
"114";"Dominican Republic"
"115";"East Germany"
"116";"Ecuador"
"117";"Egypt"
"118";"El Salvador"
"119";"Equatorial Guinea"
"120";"Eritrea"
"121";"Eritrea and Ethiopia"
"122";"Estonia"
"123";"Ethiopia"
"124";"Faeroe Islands"
"125";"Falkland Is (Malvinas)"
"126";"Fiji"
"127";"Finland"
"128";"France"
"129";"French Guiana"
"130";"French Polynesia"
"131";"Gabon"
"132";"Gambia"
"133";"Georgia"
"134";"Germany"
"135";"Ghana"
"136";"Gibraltar"
"137";"Greece"
"138";"Greenland"
"139";"Grenada"
"140";"Guadeloupe"
"141";"Guam"
"142";"Guatemala"
"143";"Guernsey"
"144";"Guinea"
"145";"Guinea-Bissau"
"146";"Guyana"
"147";"Haiti"
"148";"Holy See"
"149";"Honduras"
"150";"Hong Kong, China"
"151";"Hungary"
"152";"Iceland"
"153";"India"
"154";"Indonesia"
"155";"Iran"
"156";"Iraq"
"157";"Ireland"
"158";"Isle of Man"
"159";"Israel"
"160";"Italy"
"161";"Jamaica"
"162";"Japan"
"163";"Jersey"
"164";"Jordan"
"165";"Kazakhstan"
"166";"Kenya"
"167";"Kiribati"
"168";"North Korea"
"169";"South Korea"
"170";"United Korea (former)
"
"171";"Kosovo"
"172";"Kuwait"
"173";"Kyrgyz Republic"
"174";"Lao"
"175";"Latvia"
"176";"Lebanon"
"177";"Lesotho"
"178";"Liberia"
"179";"Libya"
"180";"Liechtenstein"
"181";"Lithuania"
"182";"Luxembourg"
"183";"Macao, China"
"184";"Macedonia, FYR"
"185";"Madagascar"
"186";"Malawi"
"187";"Malaysia"
"188";"Maldives"
"189";"Mali"
"190";"Malta"
"191";"Marshall Islands"
"192";"Martinique"
"193";"Mauritania"
"194";"Mauritius"
"195";"Mayotte"
"196";"Mexico"
"197";"Micronesia, Fed. Sts."
"198";"Moldova"
"199";"Monaco"
"200";"Mongolia"
"201";"Montenegro"
"202";"Montserrat"
"203";"Morocco"
"204";"Mozambique"
"205";"Myanmar"
"206";"Namibia"
"207";"Nauru"
"208";"Nepal"
"209";"Netherlands"
"210";"Netherlands Antilles"
"211";"New Caledonia"
"212";"New Zealand"
"213";"Ngorno-Karabakh"
"214";"Nicaragua"
"215";"Niger"
"216";"Nigeria"
"217";"Niue"
"218";"Norfolk Island"
"219";"Northern Cyprus"
"220";"Northern Mariana Islands"
"221";"Norway"
"222";"Oman"
"223";"Pakistan"
"224";"Palau"
"225";"Panama"
"226";"Papua New Guinea"
"227";"Paraguay"
"228";"Peru"
"229";"Philippines"
"230";"Pitcairn"
"231";"Poland"
"232";"Portugal"
"233";"Puerto Rico"
"234";"Qatar"
"235";"Reunion"
"236";"Romania"
"237";"Russia"
"238";"Rwanda"
"239";"St. Barthélemy"
"240";"St. Helena"
"241";"St. Kitts and Nevis"
"242";"St. Lucia"
"243";"St. Martin"
"244";"St. Vincent and the Grenadines"
"245";"St.-Pierre-et-Miquelon"
"246";"Samoa"
"247";"San Marino"
"248";"Sao Tome and Principe"
"249";"Saudi Arabia"
"250";"Senegal"
"251";"Serbia"
"252";"Serbia and Montenegro"
"253";"Serbia excluding Kosovo"
"254";"Seychelles"
"255";"Sierra Leone"
"256";"Singapore"
"257";"Slovak Republic"
"258";"Slovenia"
"259";"Solomon Islands"
"260";"Somalia"
"261";"Somaliland"
"262";"South Africa"
"263";"South Ossetia"
"264";"Spain"
"265";"Sri Lanka"
"266";"Sudan"
"267";"Suriname"
"268";"Svalbard"
"269";"Swaziland"
"270";"Sweden"
"271";"Switzerland"
"272";"Syria"
"273";"Taiwan"
"274";"Tajikistan"
"275";"Tanzania"
"276";"Thailand"
"277";"Timor-Leste"
"278";"Togo"
"279";"Tokelau"
"280";"Tonga"
"281";"Transnistria"
"282";"Trinidad and Tobago"
"283";"Tunisia"
"284";"Turkey"
"285";"Turkmenistan"
"286";"Turks and Caicos Islands"
"287";"Tuvalu"
"288";"Uganda"
"289";"Ukraine"
"290";"United Arab Emirates"
"291";"United Kingdom"
"292";"United States"
"293";"Uruguay"
"294";"USSR"
"295";"Uzbekistan"
"296";"Wallis et Futuna"
"297";"Vanuatu"
"298";"Venezuela"
"299";"West Bank and Gaza"
"300";"West Germany"
"301";"Western Sahara"
"302";"Vietnam"
"303";"Virgin Islands (U.S.)"
"304";"North Yemen (former)"
"305";"South Yemen (former)"
"306";"Yemen"
"307";"Yugoslavia"
"308";"Zambia"
"309";"Zimbabwe"
"310";"Åland"
"311";"South Sudan"
"312";"Christian"
"313";"Coastline"
"314";"Curaçao"
"315";"Sint Maarten (Dutch part)"
"316";"St. Martin (French part)"
"317";"Antarctica"
"318";"Virgin Islands, British"
"319";"Hawaiian Trade Zone"
"320";"U.S. Pacific Islands"
"321";"Wake Island"
"322";"Bonaire"
"323";"Sark"
"324";"Chinese Taipei"
"325";"Saint Eustatius"
"326";"Saba"
